id,metro
320,"Sebastian-Vero Beach, FL"
321,"Sebring, FL"
322,"Sheboygan, WI"
323,"Sherman-Denison, TX"
324,"Shreveport-Bossier City, LA"
325,"Sierra Vista-Douglas, AZ"
326,"Sioux City, IA-NE-SD"
327,"Sioux Falls, SD"
328,"South Bend-Mishawaka, IN-MI"
329,"Spartanburg, SC"
330,"Spokane-Spokane Valley, WA"
331,"Springfield, IL"
332,"Springfield, MA"
333,"Springfield, MO"
334,"Springfield, OH"
335,"State College, PA"
336,"Staunton-Waynesboro, VA"
337,"Stockton-Lodi, CA"
338,"Sumter, SC"
339,"Syracuse, NY"
340,"Tallahassee, FL"
341,"Tampa-St. Petersburg-Clearwater, FL"
342,"Terre Haute, IN"
343,"Texarkana, TX-AR"
344,"The Villages, FL"
345,"Toledo, OH"
346,"Topeka, KS"
347,"Trenton, NJ"
348,"Tucson, AZ"
349,"Tulsa, OK"
350,"Tuscaloosa, AL"
351,"Tyler, TX"
352,"Urban Honolulu, HI"
353,"Utica-Rome, NY"
354,"Valdosta, GA"
355,"Vallejo-Fairfield, CA"
356,"Victoria, TX"
357,"Vineland-Bridgeton, NJ"
358,"Virginia Beach-Norfolk-Newport News, VA-NC"
359,"Visalia-Porterville, CA"
360,"Waco, TX"
361,"Walla Walla, WA"
362,"Warner Robins, GA"
363,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
364,"Waterloo-Cedar Falls, IA"
365,"Watertown-Fort Drum, NY"
366,"Wausau, WI"
367,"Weirton-Steubenville, WV-OH"
368,"Wenatchee, WA"
369,"Wheeling, WV-OH"
370,"Wichita, KS"
371,"Wichita Falls, TX"
372,"Williamsport, PA"
373,"Wilmington, NC"
374,"Winchester, VA-WV"
375,"Winston-Salem, NC"
376,"Worcester, MA-CT"
377,"Yakima, WA"
378,"York-Hanover, PA"
379,"Youngstown-Warren-Boardman, OH-PA"
380,"Yuba City, CA"
381,"Yuma, AZ"
